Distancia(m)	Amplitude
0.0000	1.0450
0.0300	1.0412
0.0601	1.0375
0.0901	1.0338
0.1201	1.0301
0.1502	1.0264
0.1802	1.0228
0.2102	1.0191
0.2402	1.0155
0.2703	1.0119
0.3003	1.0082
0.3303	1.0046
0.3604	1.0010
0.3904	0.9975
0.4204	0.9939
0.4505	0.9904
0.4805	0.9868
0.5105	0.9833
0.5405	0.9798
0.5706	0.9763
0.6006	0.9728
0.6306	0.9693
0.6607	0.9659
0.6907	0.9624
0.7207	0.9590
0.7508	0.9555
0.7808	0.9521
0.8108	0.9487
0.8408	0.9453
0.8709	0.9420
0.9009	0.9386
0.9309	0.9352
0.9610	0.9319
0.9910	0.9286
1.0210	0.9253
1.0511	0.9220
1.0811	0.9187
1.1111	0.9154
1.1411	0.9121
1.1712	0.9089
1.2012	0.9056
1.2312	0.9024
1.2613	0.8991
1.2913	0.8959
1.3213	0.8927
1.3514	0.8895
1.3814	0.8864
1.4114	0.8832
1.4414	0.8800
1.4715	0.8769
1.5015	0.8738
1.5315	0.8707
1.5616	0.8675
1.5916	0.8644
1.6216	0.8614
1.6517	0.8583
1.6817	0.8552
1.7117	0.8522
1.7417	0.8491
1.7718	0.8461
1.8018	0.8431
1.8318	0.8400
1.8619	0.8370
1.8919	0.8341
1.9219	0.8311
1.9520	0.8281
1.9820	0.8251
2.0120	0.8222
2.0420	0.8193
2.0721	0.8163
2.1021	0.8134
2.1321	0.8105
2.1622	0.8076
2.1922	0.8047
2.2222	0.8019
2.2523	0.7990
2.2823	0.7961
2.3123	0.7933
2.3423	0.7905
2.3724	0.7876
2.4024	0.7848
2.4324	0.7820
2.4625	0.7792
2.4925	0.7764
2.5225	0.7737
2.5526	0.7709
2.5826	0.7682
2.6126	0.7654
2.6426	0.7627
2.6727	0.7600
2.7027	0.7572
2.7327	0.7545
2.7628	0.7518
2.7928	0.7492
2.8228	0.7465
2.8529	0.7438
2.8829	0.7412
2.9129	0.7385
2.9429	0.7359
2.9730	0.7332
3.0030	0.7306
3.0330	0.7280
3.0631	0.7254
3.0931	0.7228
3.1231	0.7202
3.1532	0.7177
3.1832	0.7151
3.2132	0.7125
3.2432	0.7100
3.2733	0.7075
3.3033	0.7049
3.3333	0.7024
3.3634	0.6999
3.3934	0.6974
3.4234	0.6949
3.4535	0.6924
3.4835	0.6900
3.5135	0.6875
3.5435	0.6850
3.5736	0.6826
3.6036	0.6802
3.6336	0.6777
3.6637	0.6753
3.6937	0.6729
3.7237	0.6705
3.7538	0.6681
3.7838	0.6657
3.8138	0.6633
3.8438	0.6610
3.8739	0.6586
3.9039	0.6563
3.9339	0.6539
3.9640	0.6516
3.9940	0.6492
4.0240	0.6469
4.0541	0.6446
4.0841	0.6423
4.1141	0.6400
4.1441	0.6377
4.1742	0.6355
4.2042	0.6332
4.2342	0.6309
4.2643	0.6287
4.2943	0.6264
4.3243	0.6242
4.3544	0.6220
4.3844	0.6197
4.4144	0.6175
4.4444	0.6153
4.4745	0.6131
4.5045	0.6109
4.5345	0.6087
4.5646	0.6066
4.5946	0.6044
4.6246	0.6022
4.6547	0.6001
4.6847	0.5979
4.7147	0.5958
4.7447	0.5937
4.7748	0.5916
4.8048	0.5894
4.8348	0.5873
4.8649	0.5852
4.8949	0.5832
4.9249	0.5811
4.9550	0.5790
4.9850	0.5769
5.0150	0.5749
5.0450	0.5728
5.0751	0.5708
5.1051	0.5687
5.1351	0.5667
5.1652	0.5647
5.1952	0.5627
5.2252	0.5606
5.2553	0.5586
5.2853	0.5566
5.3153	0.5547
5.3453	0.5527
5.3754	0.5507
5.4054	0.5487
5.4354	0.5468
5.4655	0.5448
5.4955	0.5429
5.5255	0.5409
5.5556	0.5390
5.5856	0.5371
5.6156	0.5352
5.6456	0.5333
5.6757	0.5313
5.7057	0.5294
5.7357	0.5276
5.7658	0.5257
5.7958	0.5238
5.8258	0.5219
5.8559	0.5201
5.8859	0.5182
5.9159	0.5163
5.9459	0.5145
5.9760	0.5127
6.0060	0.5108
6.0360	0.5090
6.0661	0.5072
6.0961	0.5054
6.1261	0.5036
6.1562	0.5018
6.1862	0.5000
6.2162	0.4982
6.2462	0.4964
6.2763	0.4946
6.3063	0.4929
6.3363	0.4911
6.3664	0.4894
6.3964	0.4876
6.4264	0.4859
6.4565	0.4841
6.4865	0.4824
6.5165	0.4807
6.5465	0.4790
6.5766	0.4773
6.6066	0.4756
6.6366	0.4739
6.6667	0.4722
6.6967	0.4705
6.7267	0.4688
6.7568	0.4671
6.7868	0.4655
6.8168	0.4638
6.8468	0.4621
6.8769	0.4605
6.9069	0.4588
6.9369	0.4572
6.9670	0.4556
6.9970	0.4539
7.0270	0.4523
7.0571	0.4507
7.0871	0.4491
7.1171	0.4475
7.1471	0.4459
7.1772	0.4443
7.2072	0.4427
7.2372	0.4411
7.2673	0.4396
7.2973	0.4380
7.3273	0.4364
7.3574	0.4349
7.3874	0.4333
7.4174	0.4318
7.4474	0.4302
7.4775	0.4287
7.5075	0.4271
7.5375	0.4256
7.5676	0.4241
7.5976	0.4226
7.6276	0.4211
7.6577	0.4196
7.6877	0.4181
7.7177	0.4166
7.7477	0.4151
7.7778	0.4136
7.8078	0.4121
7.8378	0.4107
7.8679	0.4092
7.8979	0.4077
7.9279	0.4063
7.9580	0.4048
7.9880	0.4034
8.0180	0.4019
8.0480	0.4005
8.0781	0.3991
8.1081	0.3976
8.1381	0.3962
8.1682	0.3948
8.1982	0.3934
8.2282	0.3920
8.2583	0.3906
8.2883	0.3892
8.3183	0.3878
8.3483	0.3864
8.3784	0.3850
8.4084	0.3837
8.4384	0.3823
8.4685	0.3809
8.4985	0.3796
8.5285	0.3782
8.5586	0.3769
8.5886	0.3755
8.6186	0.3742
8.6486	0.3728
8.6787	0.3715
8.7087	0.3702
8.7387	0.3689
8.7688	0.3675
8.7988	0.3662
8.8288	0.3649
8.8589	0.3636
8.8889	0.3623
8.9189	0.3610
8.9489	0.3597
8.9790	0.3584
9.0090	0.3572
9.0390	0.3559
9.0691	0.3546
9.0991	0.3534
9.1291	0.3521
9.1592	0.3508
9.1892	0.3496
9.2192	0.3483
9.2492	0.3471
9.2793	0.3458
9.3093	0.3446
9.3393	0.3434
9.3694	0.3422
9.3994	0.3409
9.4294	0.3397
9.4595	0.3385
9.4895	0.3373
9.5195	0.3361
9.5495	0.3349
9.5796	0.3337
9.6096	0.3325
9.6396	0.3313
9.6697	0.3301
9.6997	0.3289
9.7297	0.3278
9.7598	0.3266
9.7898	0.3254
9.8198	0.3243
9.8498	0.3231
9.8799	0.3220
9.9099	0.3208
9.9399	0.3197
9.9700	0.3185
10.0000	0.3174
10.0300	0.3163
10.0601	0.3151
10.0901	0.3140
10.1201	0.3129
10.1502	0.3118
10.1802	0.3106
10.2102	0.3095
10.2402	0.3084
10.2703	0.3073
10.3003	0.3062
10.3303	0.3051
10.3604	0.3040
10.3904	0.3030
10.4204	0.3019
10.4505	0.3008
10.4805	0.2997
10.5105	0.2987
10.5405	0.2976
10.5706	0.2965
10.6006	0.2955
10.6306	0.2944
10.6607	0.2934
10.6907	0.2923
10.7207	0.2913
10.7508	0.2902
10.7808	0.2892
10.8108	0.2882
10.8408	0.2871
10.8709	0.2861
10.9009	0.2851
10.9309	0.2841
10.9610	0.2830
10.9910	0.2820
11.0210	0.2810
11.0511	0.2800
11.0811	0.2790
11.1111	0.2780
11.1411	0.2770
11.1712	0.2760
11.2012	0.2751
11.2312	0.2741
11.2613	0.2731
